ZONING,ZONING_WEB_URL,ZONING_CHANGE_NARRATIVE,ZONING_STATUS,ZONING_LABEL,ZONE_DESCRIPTION,ZONE_DISTRICT,IZ_DESIGNATION,ZR58,ZR16,GLOBALID,OBJECTID,SHAPEAREA,SHAPELEN
StE-3,https://handbook.dcoz.dc.gov/zones/special-purpose-zones/st-elizabeths-east-campus/ste-3/,Created by ZC # 12-08 on 4/3/2013,Final,StE-3,Supports the St. Elizabeth's Campus Master Plan.,Special Purpose Zone,,StE-3,StE-3,{EDE85514-907F-4013-AC97-26C4E9E5256D},741062,0,0
StE-7,https://handbook.dcoz.dc.gov/zones/special-purpose-zones/st-elizabeths-east-campus/ste-7/,Created by ZC # 12-08 on 4/3/2013,Final,StE-7,Supports the St. Elizabeth's Campus Master Plan.,Special Purpose Zone,,StE-7,StE-7,{53B17C16-E86E-4175-A14F-201D3828F99E},741063,0,0
StE-8,https://handbook.dcoz.dc.gov/zones/special-purpose-zones/st-elizabeths-east-campus/ste-8/,Created by ZC # 12-08 on 4/3/2013,Final,StE-8,Supports the St. Elizabeth's Campus Master Plan.,Special Purpose Zone,,StE-8,StE-8,{5B2FD4ED-082A-46A3-A2B9-12833DCFCA22},741064,0,0
StE-10,https://handbook.dcoz.dc.gov/zones/special-purpose-zones/st-elizabeths-east-campus/ste-10/,Created by ZC # 12-08 on 4/3/2013,Final,StE-10,Supports the St. Elizabeth's Campus Master Plan.,Special Purpose Zone,,StE-10,StE-10,{27EB73BB-9888-4381-B4DD-17BE87FEB07E},741065,0,0
StE-14,https://handbook.dcoz.dc.gov/zones/special-purpose-zones/st-elizabeths-east-campus/ste-14/,Created by ZC # 12-08 on 4/3/2013,Final,StE-14,Supports the St. Elizabeth's Campus Master Plan.,Special Purpose Zone,,StE-14,StE-14,{3FD280F6-50E4-4064-B1ED-22AB2455EF39},741066,0,0
StE-17,https://handbook.dcoz.dc.gov/zones/special-purpose-zones/st-elizabeths-east-campus/ste-17/,Created by ZC # 12-08 on 4/3/2013,Final,StE-17,Supports the St. Elizabeth's Campus Master Plan.,Special Purpose Zone,,StE-17,StE-17,{F3841D57-A1B3-4E45-95B1-78109A3D08DB},741067,0,0
StE-16,https://handbook.dcoz.dc.gov/zones/special-purpose-zones/st-elizabeths-east-campus/ste-16/,Created by ZC # 12-08 on 4/3/2013,Final,StE-16,Supports the St. Elizabeth's Campus Master Plan.,Special Purpose Zone,,StE-16,StE-16,{006839DE-5A82-4CB8-BDDE-F2C35857726B},741068,0,0
StE-18,https://handbook.dcoz.dc.gov/zones/special-purpose-zones/st-elizabeths-east-campus/ste-18/,Created by ZC # 12-08 on 4/3/2013,Final,StE-18,Supports the St. Elizabeth's Campus Master Plan.,Special Purpose Zone,,StE-18,StE-18,{683C19BA-94E8-477F-9FFE-5306465AED1B},741069,0,0
StE-15,https://handbook.dcoz.dc.gov/zones/special-purpose-zones/st-elizabeths-east-campus/ste-15/,Created by ZC # 12-08 on 4/3/2013,Final,StE-15,Supports the St. Elizabeth's Campus Master Plan.,Special Purpose Zone,,StE-15,StE-15,{29AD64F8-ED9B-468E-A1B3-877AEA93BF5D},741070,0,0
StE-13,https://handbook.dcoz.dc.gov/zones/special-purpose-zones/st-elizabeths-east-campus/ste-13/,Created by ZC # 12-08 on 4/3/2013,Final,StE-13,Supports the St. Elizabeth's Campus Master Plan.,Special Purpose Zone,,StE-13,StE-13,{580CE302-6E1F-4295-AE07-4BBE9F99038D},741071,0,0
StE-12,https://handbook.dcoz.dc.gov/zones/special-purpose-zones/st-elizabeths-east-campus/ste-12/,Created by ZC # 12-08 on 4/3/2013,Final,StE-12,Supports the St. Elizabeth's Campus Master Plan.,Special Purpose Zone,,StE-12,StE-12,{C147C57F-0E51-42DE-8E45-A3C450EC31CA},741072,0,0
StE-11,https://handbook.dcoz.dc.gov/zones/special-purpose-zones/st-elizabeths-east-campus/ste-11/,Created by ZC # 12-08 on 4/3/2013,Final,StE-11,Supports the St. Elizabeth's Campus Master Plan.,Special Purpose Zone,,StE-11,StE-11,{9E99E399-1168-4F8B-BDD2-6ADDC27F9863},741073,0,0
StE-9,https://handbook.dcoz.dc.gov/zones/special-purpose-zones/st-elizabeths-east-campus/ste-9/,Created by ZC # 12-08 on 4/3/2013,Final,StE-9,Supports the St. Elizabeth's Campus Master Plan.,Special Purpose Zone,,StE-9,StE-9,{7848FC57-CA3C-4007-B797-1D7A02C5FCF0},741074,0,0
StE-6,https://handbook.dcoz.dc.gov/zones/special-purpose-zones/st-elizabeths-east-campus/ste-6/,Created by ZC # 12-08 on 4/3/2013,Final,StE-6,Supports the St. Elizabeth's Campus Master Plan.,Special Purpose Zone,,StE-6,StE-6,{F683CA04-7DB1-4945-837C-C7305F6A2B60},741075,0,0
StE-5,https://handbook.dcoz.dc.gov/zones/special-purpose-zones/st-elizabeths-east-campus/ste-5/,Created by ZC # 12-08 on 4/3/2013,Final,StE-5,Supports the St. Elizabeth's Campus Master Plan.,Special Purpose Zone,,StE-5,StE-5,{7ADCCB1C-6999-4E19-AB29-2DFE285FA408},741076,0,0
PDR-3,https://handbook.dcoz.dc.gov/zones/production-distribution-and-repair/pdr-3/,"Created by ZC 13-02 on 7/16/13.  Map amendment Order No. 13-02, Case No. 13-02, 7/19/13.",Final,PDR-3,"Permits high density commercial and production, distribution, and repair activities requiring some heavy machinery","Production, Distribution, and Repair Zone",,C-M-3,PDR-3,{A64C5E7D-0404-43FA-A7D0-1DB34A4E998B},741077,0,0
PDR-2,https://handbook.dcoz.dc.gov/zones/production-distribution-and-repair/pdr-2/,"Cut off from C-M-2 segment to northeast by ZC 13-02 on 7/16/13.  Map amendment Order No. 13-02, Case No. 13-02, 7/19/13.",Final,PDR-2,"Permits medium density commercial and production, distribution, and repair activities requiring some heavy machinery","Production, Distribution, and Repair Zone",,C-M-2,PDR-2,{8D4E5C5B-7274-4146-927E-14FC163C27CB},741078,0,0
