X,Y,OBJECTID,FEATURECODE,DESCRIPTION,CAPTUREYEAR,CAPTUREACTION,GIS_ID
-76.9851595998356,38.8407532723653,6943,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_8083
-76.9853312974716,38.8407486096709,6944,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_8082
-76.9853167079571,38.8407263029116,6945,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_8080
-76.9851474658309,38.8407213989219,6946,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_8079
-76.9853032932732,38.8407043746533,6947,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_8077
-77.0127547814833,38.840642957687,6948,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_5894
-76.9927326444206,38.8404575482882,6949,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_8076
-76.9928896703051,38.8404114346844,6950,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_8075
-77.0141558247047,38.8403527060032,6951,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_5896
-77.012807047991,38.8402943699297,6952,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_5906
-76.9873671482995,38.8402137907428,6953,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_8072
-77.0169835034186,38.8401020289381,6954,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_5897
-77.0131731973799,38.8397194818207,6955,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_5898
-77.0123559217077,38.8394171754639,6956,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_5900
-77.0123612404268,38.839401076795,6957,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_5901
-77.0004975193438,38.8393563729222,6958,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_8064
-76.9994768056052,38.8392097422353,6959,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_8062
-76.9892905234563,38.8381562630907,6960,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_8071
-76.9902187737954,38.8380039124856,6961,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_8069
-76.9975191755015,38.8379082747024,6962,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_8061
-76.9975427074176,38.8378996721251,6963,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_8060
-77.0160009890506,38.8376540213312,6964,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_5907
-76.9928570010691,38.8368670113616,6965,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_8059
-76.9929037882839,38.836856014889,6966,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_8057
-77.0069062523964,38.8367088368601,6967,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_5881
-77.0069306327807,38.8366761797581,6968,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_5883
-76.9844608515981,38.8365956897482,6969,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_8056
-76.9844120975508,38.836588962939,6970,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_8054
-76.9843760399951,38.8365653469522,6971,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_8053
-76.9843379051366,38.8365604052073,6972,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_8051
-77.0064038351094,38.8365450917664,6973,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_5903
-76.9854379705535,38.8361781746302,6974,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_8049
-76.9854045342875,38.8361773416763,6975,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_8048
-76.9854572199182,38.8361635923367,6976,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_8046
-76.985439519667,38.8361501405027,6977,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_8045
-76.9854831626775,38.8361415788948,6978,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_8044
-76.9854662686052,38.8361284875034,6979,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_8042
-76.985482373055,38.8361164361907,6980,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_8041
-76.9855012655008,38.8361010611011,6981,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_8039
-77.0003441113965,38.8357732422159,6982,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_8038
-77.0052228999747,38.8352891913823,6983,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_8031
-77.0051850852573,38.8352622938104,6984,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_8030
